stars,review_text,date_string
1,The staff here were absolutely appalling tonight. Our waiter was rude and completely ignored us for 40 minutes. The manager dismissed our complaint without even listening. Disgraceful service.,2025-05-10 22:50:00
1,Shocking service. The waiter was unprofessional and dismissive the entire evening. We had to beg to get our order taken. The crew seemed completely disinterested in doing their jobs. Never coming back.,2025-05-10 22:40:00
1,Worst service I have experienced. The staff were rude and unhelpful. Our server ignored us and when we flagged the manager he was just as bad. Felt completely neglected the whole night.,2025-05-10 22:30:00
1,"The team here were absolutely terrible tonight. Slow, disinterested, and rude when we asked questions. Waited over an hour for food with zero communication. The hospitality was nonexistent.",2025-05-10 22:20:00
1,Horrible experience with the staff. Our waiter was unfriendly and dismissive. The service was painfully slow and no one checked in on us. The management clearly doesn't care. Disgusting attitude.,2025-05-10 22:10:00
1,The service ruined what could have been a decent evening. The waitress was rude and got our order wrong twice without apologizing. The manager was unapproachable and unhelpful. Total failure.,2025-05-10 22:00:00
1,Dreadful staff tonight. We were ignored from the moment we sat down. The server was dismissive and unprofessional. Asked for the bill three times before anyone helped. Completely unacceptable service.,2025-05-10 21:50:00
1,Really bad service experience. The employees seemed completely untrained and disinterested. Our waiter was slow and rude. The hostess was unwelcoming. The whole team needs retraining urgently.,2025-05-10 21:40:00
1,"Terrible service from start to finish. The staff were rude, the waiter neglected our table and the manager was aggressive when we raised concerns. We felt completely ignored all evening. Avoid.",2025-05-10 21:30:00
1,"The crew here tonight were awful. Rude, slow, and completely disinterested. Our server disappeared for long stretches and the management did nothing when we complained. Unacceptable hospitality.",2025-05-10 21:20:00
4,Made a reservation and good overall. The team was friendly and the food came out at a good pace. The meal was tasty and well-presented. My only gripe is that it was a bit cold near the door where we were seated. Would return. The lunch menu is better value than dinner.,2025-04-23 15:10:23
4,"Came with friends and enjoyed our evening here. The atmosphere is warm and inviting, nice music in the background. Food was flavourful and fresh. Service was attentive. Gave 4 stars only because the dessert menu was limited. Wine list is impressive.",2025-05-01 20:41:04
3,Had a work dinner here and not sure I'd go back. The food was fine but the service was really slow. We had to ask multiple times for our bill. The atmosphere is nice and the decor is lovely but the experience needs work.,2025-05-05 13:10:29
4,Made a reservation and good overall. The team was friendly and the food came out at a good pace. The meal was tasty and well-presented. My only gripe is that it was a bit cold near the door where we were seated. Would return.,2025-03-01 20:20:53
1,Came here for my birthday and one of the worst meals I've had. The food was raw in the middle and when I complained the waiter was dismissive and unprofessional. Waited over an hour. Will never go back and wouldn't recommend to anyone. The cocktail menu is fantastic.,2025-02-05 22:20:25
4,Tried this place for the first time and had a great dinner here. Staff were helpful and attentive. The menu has a good variety and everything we ordered tasted great. A bit crowded on a Saturday which made it a little noisy but nothing too bad. Perfect for a family meal.,2025-04-14 21:20:13
2,Not great. Waited over 45 minutes for our food with no explanation or apology. When it arrived it was barely warm. The staff seemed completely disinterested. The decor is nice but that's about it. Gets very crowded on weekends.,2025-04-24 17:09:16
5,"Stopped in on a whim and the service here sets the bar. Our server was polite, fast, and genuinely seemed to enjoy their job. The meal was delicious from start to finish. Cozy seating and great music, not too loud. Perfect night out.",2025-04-10 14:47:37
4,"Really enjoyed this place. Great hospitality from the whole team. Food was tasty and came out hot. Nice interior design. Only small thing was they got my order slightly wrong but fixed it straight away. The location is perfect, easy to find.",2025-03-01 12:32:31
5,Came here for my birthday and amazing place. The bartender made us the best cocktails and was super knowledgeable. Atmosphere was buzzing but not too loud. Food was delicious and came out quickly. Definitely coming back with friends. Loved the outdoor seating area.,2025-02-20 20:10:50
2,Disappointing visit. The food was stale and the portion sizes were tiny for the price. The atmosphere is okay but the service was terrible. Felt ignored for most of the evening. Unlikely to return.,2025-02-09 16:24:38
4,Had a lovely meal here. The flavours were bold and the food was clearly well-made. Staff were helpful and polite. The atmosphere is really nice in the evening. Prices are fair. Would recommend to friends. Wine list is impressive.,2025-04-12 10:43:46
5,"Booked a table for 8 and they handled it so well. Staff was organized and efficient. The variety on the menu is impressive. Food was tasty and authentic. The decor is gorgeous, very Instagrammable. Wine list is impressive.",2025-05-10 20:21:07
4,"Decent spot. The food was fresh and well-prepared. Service was good, no major complaints. Only thing I'd say is the bill came a bit slow at the end but the meal itself was excellent. Will be back. Great spot for a date night.",2025-03-31 10:46:56
2,Made a reservation and had a bad experience. The food was cold when it arrived and the manager was unapologetic when we brought it up. Staff seemed untrained and disorganized. Expected much more based on the price.,2025-05-09 12:32:58
5,"Came back for the third time and everything was perfect. Our waitress was attentive and professional without hovering. The burger was juicy and fresh, fries crispy. Reasonable price for the quality. Really clean restaurant too.",2025-04-19 13:09:23
1,"Had a work dinner here and terrible experience. The staff were rude from the moment we walked in. Food was disgusting, clearly not fresh. The bathroom was filthy. Overpriced for awful quality. Avoid at all costs.",2025-04-09 10:38:20
3,Visited last week and average experience. The food came out lukewarm which was disappointing. Staff were polite but it took a long time to get anyone's attention. The decor is nice. Hopefully just an off night for them. Loved the outdoor seating area.,2025-03-19 22:19:15
5,"Stopped in on a whim and the food here is just outstanding. Tried the salmon and it was perfectly cooked, incredibly fresh. Service was fast and efficient. The interior is beautifully designed, very aesthetic. Loved every minute.",2025-02-11 11:46:31
1,"Tried this place for the first time and worst restaurant I've visited in years. The staff were rude and the food was inedible. Overpriced, dirty, slow service. The manager was dismissive and unhelpful. I genuinely can't think of anything positive to say.",2025-05-10 12:08:42
3,"It was okay. Food was decent, nothing special but not bad either. Service was a bit slow and the waiter seemed disinterested at times. The atmosphere is nice though, good location. Might try again. Great spot for a date night.",2025-03-06 18:55:38
4,Came with friends and really enjoyed this place. Great hospitality from the whole team. Food was tasty and came out hot. Nice interior design. Only small thing was they got my order slightly wrong but fixed it straight away.,2025-05-08 21:44:12
2,Came back for the third time and two stars because the location is good and the interior looks nice. But the food was average at best and the service was really slow and inattentive. Way too expensive for what you get. Won't go back. Gets very crowded on weekends.,2025-04-27 20:23:28
3,"Mixed feelings. Some dishes were really good, others were just mediocre. Service was inconsistent. Nice atmosphere. I think on a better night it could be excellent but this visit was just okay. Loved the outdoor seating area.",2025-03-04 13:04:21
5,"Best dining experience I've had in years. The atmosphere was cozy and warm, lighting was just right. Our server was polite and helpful with recommendations. The pasta was fresh and the portions were generous. Highly recommend. The cocktail menu is fantastic.",2025-04-17 13:00:04
